ID;Name;URL;Suggested URL;Link position;Has equal domain
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://www.linkedin.com/company/hellenic-statistical-authority-elstat-/;7.0;0.0
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://knoema.ru/atlas/sources/ELSTAT?regionId=CY;8.0;0.0
000000034;Hellenic Statistical Authority;https://www.statistics.gr;https://www.wikiwand.com/en/Hellenic_Statistical_Authority;9.0;0.0
000000037;Statistics Denmark;https://www.dst.dk;https://www.dst.dk/en;0.0;1.0
000000037;Statistics Denmark;https://www.dst.dk;https://en.wikipedia.org/wiki/Statistics_Denmark;1.0;0.0
000000037;Statistics Denmark;https://www.dst.dk;https://statbank.dk/;2.0;0.0
000000037;Statistics Denmark;https://www.dst.dk;https://www.statista.com/topics/2522/denmark/;3.0;0.0
000000037;Statistics Denmark;https://www.dst.dk;https://WikiMili.com/en/Statistics_Denmark;4.0;0.0
000000037;Statistics Denmark;https://www.dst.dk;https://data.oecd.org/denmark.htm;5.0;0.0
000000037;Statistics Denmark;https://www.dst.dk;https://ec.europa.eu/eurostat/web/ess/denmark/statistics;6.0;0.0
000000037;Statistics Denmark;https://www.dst.dk;https://www.worlddata.info/europe/denmark/index.php;7.0;0.0
000000037;Statistics Denmark;https://www.dst.dk;https://worldpopulationreview.com/countries/denmark-population;8.0;0.0
000000037;Statistics Denmark;https://www.dst.dk;https://www.worldometers.info/world-population/denmark-population/;9.0;0.0
000000040;Statistics Denmark;https://www.dst.dk;https://www.dst.dk/en;0.0;1.0
000000040;Statistics Denmark;https://www.dst.dk;https://en.wikipedia.org/wiki/Statistics_Denmark;1.0;0.0
000000040;Statistics Denmark;https://www.dst.dk;https://statbank.dk/;2.0;0.0
000000040;Statistics Denmark;https://www.dst.dk;https://www.statista.com/topics/2522/denmark/;3.0;0.0
000000040;Statistics Denmark;https://www.dst.dk;https://WikiMili.com/en/Statistics_Denmark;4.0;0.0
000000040;Statistics Denmark;https://www.dst.dk;https://data.oecd.org/denmark.htm;5.0;0.0
000000040;Statistics Denmark;https://www.dst.dk;https://ec.europa.eu/eurostat/web/ess/denmark/statistics;6.0;0.0
000000040;Statistics Denmark;https://www.dst.dk;https://www.worlddata.info/europe/denmark/index.php;7.0;0.0
000000040;Statistics Denmark;https://www.dst.dk;https://worldpopulationreview.com/countries/denmark-population;8.0;0.0
000000040;Statistics Denmark;https://www.dst.dk;https://www.worldometers.info/world-population/denmark-population/;9.0;0.0
000000043;Statistics Estonia;https://www.stat.ee;https://www.stat.ee/en;0.0;1.0
000000043;Statistics Estonia;https://www.stat.ee;https://www.stat.ee/;1.0;1.0
000000043;Statistics Estonia;https://www.stat.ee;https://en.wikipedia.org/wiki/Statistics_Estonia;2.0;0.0
000000043;Statistics Estonia;https://www.stat.ee;https://everipedia.org/wiki/lang_en/Statistics_Estonia;3.0;0.0
000000043;Statistics Estonia;https://www.stat.ee;https://wiki2.org/en/Statistics_Estonia;4.0;0.0
