Has equal domain;ID;Link position;Name;Suggested URL;URL
0.0;000000016;5.0;Departament d´Estadística;http://educacio.gencat.cat/portal/page/portal/Educacio/PCentrePrivat/PCPIntercanviDades/PCPEstadisticaEnsenyament;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000016;6.0;Departament d´Estadística;http://www.ub.edu/stat/index.htm;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000016;7.0;Departament d´Estadística;http://www.ub.edu/stat/personal/cuadras/cuad.html;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000016;8.0;Departament d´Estadística;https://www.idescat.cat/;https://www.estadistica.ad/serveiestudis/web/index.asp
0.0;000000016;9.0;Departament d´Estadística;https://www.idescat.cat/?lang=es;https://www.estadistica.ad/serveiestudis/web/index.asp
1.0;000000017;0.0;National Statistical Committee of the Republic of Belarus;https://www.belstat.gov.by/en/;https://www.belstat.gov.by
0.0;000000017;3.0;National Statistical Committee of the Republic of Belarus;http://ghdx.healthdata.org/organizations/national-statistical-committee-republic-belarus;https://www.belstat.gov.by
0.0;000000017;4.0;National Statistical Committee of the Republic of Belarus;http://stat.kg/en/;https://www.belstat.gov.by
0.0;000000017;5.0;National Statistical Committee of the Republic of Belarus;https://globaledge.msu.edu/global-resources/resource/5450;https://www.belstat.gov.by
0.0;000000017;7.0;National Statistical Committee of the Republic of Belarus;https://www.linkedin.com/in/anastasiya-p-b7a67a5a;https://www.belstat.gov.by
0.0;000000017;8.0;National Statistical Committee of the Republic of Belarus;https://en.wikipedia.org/wiki/List_of_national_and_international_statistical_services;https://www.belstat.gov.by
0.0;000000017;9.0;National Statistical Committee of the Republic of Belarus;https://www.statbureau.org/en/belarus/cpi-1990;https://www.belstat.gov.by
0.0;000000019;0.0;National Statistical Committee of the Republic of Belarus;https://www.belstat.gov.by/en/;
0.0;000000019;3.0;National Statistical Committee of the Republic of Belarus;http://ghdx.healthdata.org/organizations/national-statistical-committee-republic-belarus;
0.0;000000019;4.0;National Statistical Committee of the Republic of Belarus;http://stat.kg/en/;
0.0;000000019;5.0;National Statistical Committee of the Republic of Belarus;https://globaledge.msu.edu/global-resources/resource/5450;
0.0;000000019;7.0;National Statistical Committee of the Republic of Belarus;https://www.linkedin.com/in/anastasiya-p-b7a67a5a;
0.0;000000019;8.0;National Statistical Committee of the Republic of Belarus;https://en.wikipedia.org/wiki/List_of_national_and_international_statistical_services;
0.0;000000019;9.0;National Statistical Committee of the Republic of Belarus;https://www.statbureau.org/en/belarus/cpi-1990;
1.0;000000020;0.0;Statistics Belgium;https://statbel.fgov.be/en;https://statbel.fgov.be
0.0;000000020;1.0;Statistics Belgium;https://www.statista.com/topics/2384/belgium/;https://statbel.fgov.be
0.0;000000020;2.0;Statistics Belgium;https://wonderfulwanderings.com/belgium-facts/;https://statbel.fgov.be
0.0;000000020;3.0;Statistics Belgium;https://en.wikipedia.org/wiki/Statistics_Belgium;https://statbel.fgov.be
0.0;000000020;4.0;Statistics Belgium;https://www.expatica.com/be/about/basics/30-facts-you-didnt-know-about-belgium-108729/;https://statbel.fgov.be
